def.event_author_id,def.event_object_creator,a.native_author,b.native_creator,time.datetime,def.d_release,time.Year,time.Month,time.Day,def.event_url,def.row_type,weight,deo.Event_object_native_name
1265,1260,steffen.pingel,mik.kersten,11-20-2007 18:20:59,2.2,2007,11,20,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.0285550523546192,group working sets by task repository in working set edit dialog
1264,1265,ekuleshov,steffen.pingel,11-20-2007 19:00:24,2.2,2007,11,20,f4911b7d-c0a8-0169-2a8c-eeea5d73790f,1,0.0782663720891674,"add ""Repository Properties"" button to query"
1264,1264,ekuleshov,ekuleshov,11-20-2007 19:02:37,2.2,2007,11,20,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.0275425367616955,group working sets by task repository in working set edit dialog
1264,1260,ekuleshov,mik.kersten,11-20-2007 19:02:37,2.2,2007,11,20,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.0280688748676253,group working sets by task repository in working set edit dialog
1264,1265,ekuleshov,steffen.pingel,11-20-2007 19:02:37,2.2,2007,11,20,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.152760316462471,group working sets by task repository in working set edit dialog
1387,1260,markphip,mik.kersten,11-20-2007 19:27:20,2.2,2007,11,20,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,0,0.026994423215886,group working sets by task repository in working set edit dialog
1387,1264,markphip,ekuleshov,11-20-2007 19:27:20,2.2,2007,11,20,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.0272902333977886,group working sets by task repository in working set edit dialog
1387,1260,markphip,mik.kersten,11-20-2007 19:27:20,2.2,2007,11,20,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.0277910133951951,group working sets by task repository in working set edit dialog
1387,1265,markphip,steffen.pingel,11-20-2007 19:27:20,2.2,2007,11,20,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.120947749912742,group working sets by task repository in working set edit dialog
1265,1265,steffen.pingel,steffen.pingel,11-20-2007 19:32:58,2.2,2007,11,20,f490fd2f-c0a8-0169-2a8c-eeea8530daca,1,0.99,NPE when creating subtask and no task data available
1260,1260,mik.kersten,mik.kersten,11-20-2007 19:38:23,2.2,2007,11,20,f487c5f0-c0a8-0169-2a8c-eeea0e57551a,1,0.00156664201430309,[context] display orphaned element content on the Context editor tab
1264,1387,ekuleshov,markphip,11-20-2007 19:56:26,2.2,2007,11,20,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.180748443976705,group working sets by task repository in working set edit dialog
1387,1387,markphip,markphip,11-20-2007 19:59:33,2.2,2007,11,20,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.172336879396141,group working sets by task repository in working set edit dialog
1265,1265,steffen.pingel,steffen.pingel,11-20-2007 22:35:45,2.2,2007,11,20,f4912b7d-c0a8-0169-2a8c-eeea2ca4be58,0,0.99,[api] streamline password prompting
1260,1279,mik.kersten,Michael.Scharf,11-20-2007 23:55:02,2.2,2007,11,20,f490ebdc-c0a8-0169-2a8c-eeea576f54bc,0,0.00979813892024007,Activate previous task menu cuts off significant information
1260,1279,mik.kersten,Michael.Scharf,11-20-2007 23:55:02,2.2,2007,11,20,f490ebdc-c0a8-0169-2a8c-eeea576f54bc,1,0.00979957887012223,Activate previous task menu cuts off significant information
1260,1260,mik.kersten,mik.kersten,11-20-2007 23:55:08,2.2,2007,11,20,f490ebdc-c0a8-0169-2a8c-eeea576f54bc,1,0.99,Activate previous task menu cuts off significant information
1260,1491,mik.kersten,daniele.pirola,11-21-2007 00:07:43,2.2,2007,11,21,f490ec19-c0a8-0169-2a8c-eeea52f5f711,0,0.00996851985080116,"Planning perspective doesn't save state when customized"
1260,1260,mik.kersten,mik.kersten,11-21-2007 00:07:47,2.2,2007,11,21,f490ec19-c0a8-0169-2a8c-eeea52f5f711,1,0.99,"Planning perspective doesn't save state when customized"
1261,1261,robert.elves,robert.elves,11-21-2007 01:45:25,2.2,2007,11,21,f48f29f8-c0a8-0169-2a8c-eeea81c3ac51,1,0.00490237195432464,"cannot be updated when using ""local users"" and Bugzilla 3.02 ( match failed bug )"
1261,1298,robert.elves,eclipse,11-21-2007 01:45:25,2.2,2007,11,21,f48f29f8-c0a8-0169-2a8c-eeea81c3ac51,1,0.00495849871230889,"cannot be updated when using ""local users"" and Bugzilla 3.02 ( match failed bug )"
1261,1269,robert.elves,Frank,11-21-2007 01:45:25,2.2,2007,11,21,f48f29f8-c0a8-0169-2a8c-eeea81c3ac51,1,0.00498685186085105,"cannot be updated when using ""local users"" and Bugzilla 3.02 ( match failed bug )"
1261,1339,robert.elves,dwballance,11-21-2007 01:45:25,2.2,2007,11,21,f48f29f8-c0a8-0169-2a8c-eeea81c3ac51,1,0.0401828604441758,"cannot be updated when using ""local users"" and Bugzilla 3.02 ( match failed bug )"
1261,1261,robert.elves,robert.elves,11-21-2007 03:20:56,2.2,2007,11,21,f4908716-c0a8-0169-2a8c-eeea8e0512b3,1,0.0208478810995617,Second level Priority sort by id/summary
1261,1265,robert.elves,steffen.pingel,11-21-2007 03:52:43,2.2,2007,11,21,f4901719-c0a8-0169-2a8c-eeeae50735c6,0,0.00508710077049799,add create subtask action for Bugzilla editor
1261,1281,robert.elves,mm105,11-21-2007 03:52:43,2.2,2007,11,21,f4901719-c0a8-0169-2a8c-eeeae50735c6,1,0.00592304879850553,add create subtask action for Bugzilla editor
1261,1267,robert.elves,shawn.minto,11-21-2007 03:52:43,2.2,2007,11,21,f4901719-c0a8-0169-2a8c-eeeae50735c6,1,0.0103282014772821,add create subtask action for Bugzilla editor
1261,1260,robert.elves,mik.kersten,11-21-2007 03:52:43,2.2,2007,11,21,f4901719-c0a8-0169-2a8c-eeeae50735c6,1,0.0104886770884019,add create subtask action for Bugzilla editor
1261,1269,robert.elves,Frank,11-21-2007 03:52:43,2.2,2007,11,21,f4901719-c0a8-0169-2a8c-eeeae50735c6,1,0.0163463401204247,add create subtask action for Bugzilla editor
1261,1265,robert.elves,steffen.pingel,11-21-2007 03:52:43,2.2,2007,11,21,f4901719-c0a8-0169-2a8c-eeeae50735c6,1,0.0207926304341354,add create subtask action for Bugzilla editor
1261,1261,robert.elves,robert.elves,11-21-2007 03:53:21,2.2,2007,11,21,f4901719-c0a8-0169-2a8c-eeeae50735c6,1,0.99,add create subtask action for Bugzilla editor
1261,1261,robert.elves,robert.elves,11-21-2007 13:40:44,2.2,2007,11,21,f48947e5-c0a8-0169-2a8c-eeea7e8dabd3,1,0.00238108762875902,bugzilla urls with anchor should seek to a comment within the
1261,1260,robert.elves,mik.kersten,11-21-2007 13:40:44,2.2,2007,11,21,f48947e5-c0a8-0169-2a8c-eeea7e8dabd3,1,0.0217385623170074,bugzilla urls with anchor should seek to a comment within the
1260,1265,mik.kersten,steffen.pingel,11-21-2007 13:42:10,2.2,2007,11,21,f487857a-c0a8-0169-2a8c-eeea06576387,1,0.00740188208907076,create a new bug from a comment
1269,1339,Frank,dwballance,11-21-2007 15:37:57,2.2,2007,11,21,f48f29f8-c0a8-0169-2a8c-eeea81c3ac51,1,0.0260978540250268,"cannot be updated when using ""local users"" and Bugzilla 3.02 ( match failed bug )"
1265,1265,steffen.pingel,steffen.pingel,11-21-2007 16:15:09,2.2,2007,11,21,f49134a1-c0a8-0169-2a8c-eeeab9579d3a,0,0.99,[api] add support for creating subtasks
1395,1260,George.Lindholm,mik.kersten,11-21-2007 16:30:00,2.2,2007,11,21,f4908716-c0a8-0169-2a8c-eeea8e0512b3,1,0.0118386840550139,Second level Priority sort by id/summary
1395,1261,George.Lindholm,robert.elves,11-21-2007 16:30:00,2.2,2007,11,21,f4908716-c0a8-0169-2a8c-eeea8e0512b3,1,0.0179437359814617,Second level Priority sort by id/summary
1260,1260,mik.kersten,mik.kersten,11-21-2007 17:09:23,2.2,2007,11,21,f4913b49-c0a8-0169-2a8c-eeea4b83d416,0,0.99,Report as bug action label is not showing up correctly
1265,1265,steffen.pingel,steffen.pingel,11-21-2007 17:17:49,2.2,2007,11,21,f49134a1-c0a8-0169-2a8c-eeeab9579d3a,1,0.125730125730189,[api] add support for creating subtasks
1290,1260,scribblings,mik.kersten,11-21-2007 17:31:04,2.2,2007,11,21,f48ebe49-c0a8-0169-2a8c-eeea243dc58a,1,0.00505793740653085,add inplace view for Active Search
1265,1265,steffen.pingel,steffen.pingel,11-21-2007 17:46:52,2.2,2007,11,21,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.0264023469796019,group working sets by task repository in working set edit dialog
1265,1387,steffen.pingel,markphip,11-21-2007 17:46:52,2.2,2007,11,21,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.0270447390530536,group working sets by task repository in working set edit dialog
1262,1262,wmitsuda,wmitsuda,11-21-2007 19:18:41,2.2,2007,11,21,f487857a-c0a8-0169-2a8c-eeea06576387,1,0.00145285349541286,create a new bug from a comment
1262,1261,wmitsuda,robert.elves,11-21-2007 19:18:41,2.2,2007,11,21,f487857a-c0a8-0169-2a8c-eeea06576387,1,0.00145322911196433,create a new bug from a comment
1262,1264,wmitsuda,ekuleshov,11-21-2007 19:18:41,2.2,2007,11,21,f487857a-c0a8-0169-2a8c-eeea06576387,1,0.00145326512384994,create a new bug from a comment
1262,1260,wmitsuda,mik.kersten,11-21-2007 19:18:41,2.2,2007,11,21,f487857a-c0a8-0169-2a8c-eeea06576387,1,0.00145798065597837,create a new bug from a comment
1262,1269,wmitsuda,Frank,11-21-2007 19:18:41,2.2,2007,11,21,f487857a-c0a8-0169-2a8c-eeea06576387,1,0.00376232808931471,create a new bug from a comment
