b.source_id	c.target_id	weight	release
304	458	0.027156694	2.1
310	159	0.496801838	2.1
310	243	0.002251403	2.1
373	451	0.011752235	2.1
391	258	0.056501279	2.1
399	10	0.030958036	2.1
399	30	0.048167237	2.1
399	71	0.034695117	2.1
399	84	0.659739403	2.1
399	102	0.030381681	2.1
399	104	0.441956394	2.1
399	122	0.011245052	2.1
399	132	0.011675014	2.1
399	195	0.093992913	2.1
399	226	0.138561729	2.1
399	266	0.142918394	2.1
399	272	0.109721308	2.1
451	118	0.016138325	2.1
451	143	0.020351988	2.1
451	159	0.396510706	2.1
451	203	0.01135985	2.1
451	212	0.069385309	2.1
451	258	0.02151544	2.1
13	373	0.19920177	2.1
34	373	21.00840336	2.1
34	399	1	2.1
68	304	0.00592193	2.1
68	333	0.033898305	2.1
68	352	0.025720165	2.1
68	444	0.002338867	2.1
68	449	0.003517052	2.1
68	457	0.00563471	2.1
71	399	1	2.1
89	373	0.029659509	2.1
108	391	1	2.1
108	399	0.114911159	2.1
132	304	0.002932402	2.1
132	373	0.030544331	2.1
132	399	0.060419428	2.1
133	304	0.036051255	2.1
133	373	0.600781015	2.1
143	282	5.474452555	2.1
143	284	1.380318285	2.1
143	293	0.023730141	2.1
143	316	0.011190314	2.1
143	319	0.063953674	2.1
143	361	0.007387325	2.1
143	367	0.070589635	2.1
143	380	0.002236375	2.1
143	384	0.834724541	2.1
143	395	0.002298399	2.1
143	410	0.010180334	2.1
143	444	0.001538223	2.1
143	451	0.076328387	2.1
159	293	0.019045201	2.1
159	310	0.050661311	2.1
159	325	0.001824317	2.1
159	344	0.002325585	2.1
159	373	0.007570118	2.1
159	451	2.610966057	2.1
159	457	0.00184602	2.1
205	304	44.7761194	2.1
212	304	0.018762718	2.1
212	367	0.014503894	2.1
212	373	0.019829821	2.1
212	399	0.009478209	2.1
212	457	0.01274979	2.1
272	399	0.152018039	2.1
283	283	27.02702703	2.1
283	304	0.531208499	2.1
283	434	16.48351648	2.1
293	293	1	2.1
299	299	1	2.1
299	304	1	2.1
310	304	0.005455663	2.1
310	310	0.030339591	2.1
310	344	0.002247125	2.1
310	395	0.002261601	2.1
310	451	0.139333984	2.1
310	457	0.002366259	2.1
367	288	0.021192278	2.1
367	367	0.242174552	2.1
367	399	0.017824676	2.1
391	304	0.004047956	2.1
391	335	0.003169713	2.1
391	410	6.172839506	2.1
391	427	0.013298403	2.1
399	278	0.08148631	2.1
399	283	0.04437476	2.1
399	339	7.462686567	2.1
399	410	0.003007205	2.1
399	427	0.020128868	2.1
399	433	0.780031201	2.1
427	427	0.042648618	2.1
434	283	125	2.1
434	304	250	2.1
434	434	66.66666667	2.1
451	276	0.021416578	2.1
451	295	0.019088185	2.1
451	304	0.020669341	2.1
451	310	0.075749924	2.1
451	346	0.016001728	2.1
451	373	1.227596366	2.1
451	391	0.022822192	2.1
451	399	0.020516728	2.1
463	304	0.03405174	2.1
463	399	0.070709789	2.1
10	10	0.101281207	2.1
10	143	0.016757865	2.1
10	159	20.4778157	2.1
30	30	1	2.1
33	33	0.032831481	2.1
33	143	0.046735087	2.1
33	159	0.057595724	2.1
45	45	1.27754711	2.1
45	143	0.083418738	2.1
45	188	0.06050046	2.1
45	267	1.499250375	2.1
60	60	1	2.1
84	84	1	2.1
102	102	0.290585045	2.1
104	104	1	2.1
112	112	0.01604397	2.1
112	143	0.022083005	2.1
120	172	0.033553669	2.1
122	122	0.006280632	2.1
126	196	1	2.1
134	159	0.016022816	2.1
143	458	0.045877873	2.1
164	164	0.104567967	2.1
172	172	1.63132137	2.1
173	173	0.07192142	2.1
188	45	0.016985535	2.1
188	143	0.017413867	2.1
188	188	0.017470358	2.1
188	267	0.01562964	2.1
194	194	0.475209884	2.1
195	195	0.094621214	2.1
212	463	0.008093758	2.1
221	143	0.019479295	2.1
221	221	4.518072289	2.1
221	268	0.009534191	2.1
221	275	0.131134165	2.1
226	132	0.0480243	2.1
226	226	0.060197448	2.1
231	231	1	2.1
236	120	0.08469552	2.1
236	172	0.024032107	2.1
258	10	0.046286921	2.1
258	159	0.02853637	2.1
258	258	0.071949412	2.1
267	45	0.014034613	2.1
267	143	0.012702006	2.1
267	188	0.012844851	2.1
267	267	0.01608348	2.1
268	143	1	2.1
268	268	1	2.1
275	143	0.018981624	2.1
275	221	0.124155484	2.1
275	268	0.009414423	2.1
275	275	0.111153455	2.1
276	10	11.49425287	2.1
276	112	0.015162066	2.1
276	143	0.023073119	2.1
278	30	0.117799505	2.1
278	143	0.226500566	2.1
282	143	0.010192295	2.1
284	143	1.636426275	2.1
287	116	0.008357958	2.1
287	240	0.008471591	2.1
319	25	0.160594659	2.1
319	150	0.10822218	2.1
319	178	0.066680003	2.1
319	185	9.036144578	2.1
319	266	0.037947514	2.1
333	68	0.516996252	2.1
333	143	0.026070776	2.1
339	30	0.048480147	2.1
339	143	0.060408361	2.1
365	98	0.098775188	2.1
365	143	0.099950025	2.1
367	463	0.018313677	2.1
369	116	0.123114805	2.1
369	240	0.453823463	2.1
396	143	0.138094844	2.1
396	188	0.113703121	2.1
410	10	0.011710013	2.1
410	143	0.011951399	2.1
410	258	0.006643514	2.1
443	159	0.013436526	2.1
451	457	0.011732132	2.1
10	304	0.00983959	2.1
10	373	0.005701352	2.1
10	399	0.031302397	2.1
