personA	personB	weight	release
364	399	4	2.1
373	173	61	2.1
365	143	2	2.1
451	310	3	2.1
352	373	2	2.1
451	203	3	2.1
384	143	1	2.1
34	34	14	2.1
14	159	1	2.1
33	304	12	2.1
45	188	10	2.1
132	304	63	2.1
116	304	5	2.1
133	133	5	2.1
149	143	16	2.1
304	221	6	2.1
134	442	2	2.1
304	65	10	2.1
188	45	8	2.1
143	444	8	2.1
178	248	6	2.1
143	133	6	2.1
178	173	1	2.1
304	352	3	2.1
236	304	3	2.1
304	178	7	2.1
258	10	8	2.1
283	283	2	2.1
219	304	3	2.1
159	159	6624	2.1
241	35	13	2.1
287	373	2	2.1
373	24	13	2.1
278	143	1	2.1
391	410	1	2.1
399	10	67	2.1
373	361	1	2.1
369	304	45	2.1
373	178	1	2.1
367	463	1	2.1
451	346	4	2.1
451	212	22	2.1
443	451	1	2.1
34	159	2	2.1
24	24	106	2.1
45	396	6	2.1
45	267	1	2.1
132	373	40	2.1
116	369	1	2.1
133	143	2	2.1
149	149	11	2.1
304	236	6	2.1
164	373	18	2.1
304	89	110	2.1
188	143	22	2.1
143	451	7	2.1
178	304	11	2.1
143	141	1	2.1
181	132	2	2.1
304	367	39	2.1
258	410	1	2.1
304	181	100	2.1
258	159	19	2.1
283	304	6	2.1
240	240	6	2.1
159	243	18	2.1
241	143	10	2.1
308	308	1	2.1
373	330	3	2.2
331	331	1	2.2
391	102	1	2.2
331	56	26	2.2
304	238	15	2.2
276	391	1	2.2
304	98	44	2.2
276	45	3	2.2
399	301	15	2.2
399	175	32	2.2
425	258	8	2.2
425	143	54	2.2
19	89	3	2.2
108	304	2	2.2
133	182	2	2.2
56	424	72	2.2
66	66	1	2.2
143	369	6	2.2
159	129	17	2.2
173	267	6	2.2
129	159	19	2.2
258	399	203	2.2
233	233	49	2.2
202	98	4	2.2
373	368	10	2.2
391	132	1	2.2
331	143	14	2.2
304	244	13	2.2
276	396	2	2.2
304	102	14	2.2
276	188	5	2.2
399	310	933	2.2
399	182	13	2.2
425	275	4	2.2
10	331	1	2.2
40	40	4	2.2
