b.source_id	c.target_id	weight	release
159	310	552690	2.1
159	325	32889021	2.1
159	344	4729992	2.1
159	373	355872898	2.1
159	451	383	2.1
159	457	125675748	2.1
205	304	67	2.1
212	304	13484187	2.1
212	367	206841	2.1
212	373	4589048	2.1
212	399	3903691	2.1
212	457	4705960	2.1
272	399	39469	2.1
283	283	74	2.1
283	304	11295	2.1
283	434	182	2.1
293	293	0	2.1
299	299	0	2.1
299	304	0	2.1
310	304	67819444	2.1
310	310	60449069	2.1
310	344	445013	2.1
310	395	28298531	2.1
310	451	7177	2.1
310	457	33808640	2.1
367	288	235935	2.1
367	367	685456	2.1
367	399	673224	2.1
391	304	188737221	2.1
391	335	315486	2.1
391	410	162	2.1
391	427	300788	2.1
399	278	12272	2.1
399	283	67606	2.1
399	339	134	2.1
399	410	5320556	2.1
399	427	4669910	2.1
399	433	5128	2.1
427	427	1008239	2.1
434	283	8	2.1
434	304	8	2.1
434	434	30	2.1
451	276	233464	2.1
451	295	366719	2.1
451	304	2370661	2.1
451	310	39604	2.1
451	346	249973	2.1
451	373	4073	2.1
451	391	43817	2.1
451	399	341185	2.1
463	304	4287593	2.1
463	399	4737675	2.1
10	10	236964	2.1
10	143	1133796	2.1
10	159	293	2.1
30	30	0	2.1
33	33	213210	2.1
33	143	320958	2.1
33	159	520872	2.1
45	45	3131	2.1
45	143	167828	2.1
45	188	165288	2.1
45	267	667	2.1
60	60	0	2.1
84	84	0	2.1
102	102	10324	2.1
104	104	0	2.1
112	112	436301	2.1
112	143	588688	2.1
120	172	59606	2.1
122	122	1751416	2.1
126	196	0	2.1
134	159	62411	2.1
143	458	87188	2.1
164	164	2601179	2.1
172	172	1226	2.1
173	173	10692225	2.1
188	45	470989	2.1
188	143	1263361	2.1
188	188	915837	2.1
188	267	447867	2.1
194	194	37878	2.1
195	195	116253	2.1
212	463	370656	2.1
221	143	1283414	2.1
221	221	664	2.1
221	268	314657	2.1
221	275	68632	2.1
226	132	499747	2.1
226	226	598032	2.1
231	231	0	2.1
236	120	11807	2.1
236	172	83222	2.1
258	10	172835	2.1
258	159	665817	2.1
258	258	3335677	2.1
267	45	1211291	2.1
267	143	3149109	2.1
267	188	2257714	2.1
267	267	932634	2.1
268	143	0	2.1
268	268	0	2.1
275	143	3266317	2.1
275	221	96653	2.1
275	268	743540	2.1
275	275	251904	2.1
276	10	87	2.1
276	112	923357	2.1
276	143	1993662	2.1
278	30	8489	2.1
278	143	4415	2.1
282	143	3237740	2.1
284	143	34832	2.1
287	116	1076818	2.1
287	240	1416499	2.1
319	25	43588	2.1
319	150	36961	2.1
319	178	14997	2.1
319	185	332	2.1
319	266	421635	2.1
333	68	7737	2.1
333	143	306857	2.1
339	30	20627	2.1
339	143	16554	2.1
365	98	60744	2.1
365	143	20010	2.1
367	463	54604	2.1
369	116	16245	2.1
369	240	8814	2.1
396	143	36207	2.1
396	188	52769	2.1
410	10	170794	2.1
410	143	3932594	2.1
410	258	1204182	2.1
443	159	148848	2.1
451	457	255708	2.1
10	304	4776622	2.1
10	373	526191	2.1
10	399	1469536	2.1
10	449	264449	2.1
30	304	0	2.1
33	304	297738	2.1
45	396	56436	2.1
45	399	9392	2.1
54	304	262182	2.1
54	399	729888	2.1
60	373	0	2.1
84	399	0	2.1
102	373	316	2.1
102	399	1619	2.1
104	399	0	2.1
112	276	561798	2.1
112	304	567635	2.1
120	304	79974	2.1
122	373	6104676	2.1
134	304	62411	2.1
134	373	126855	2.1
134	442	276323	2.1
164	373	96019	2.1
168	304	167	2.1
168	317	167	2.1
172	304	1226	2.1
173	319	865645	2.1
173	373	5794971	2.1
188	396	369445	2.1
188	399	62462	2.1
194	304	7582	2.1
195	304	31927	2.1
195	373	58720	2.1
221	304	628969	2.1
226	373	599671	2.1
226	399	116350	2.1
231	399	0	2.1
236	304	88739	2.1
258	410	89	2.1
267	304	639365	2.1
267	396	919957	2.1
267	399	50713	2.1
275	304	1492621	2.1
276	373	526186	2.1
276	449	264536	2.1
278	283	860	2.1
278	304	10426	2.1
282	282	2490	2.1
282	373	1540455	2.1
284	284	52635	2.1
287	287	1029411	2.1
287	304	6813328	2.1
287	369	347513	2.1
287	373	1313	2.1
308	308	0	2.1
308	328	0	2.1
317	304	0	2.1
317	317	0	2.1
319	399	1827407	2.1
328	308	243790	2.1
328	328	124027	2.1
328	373	353496	2.1
330	330	0	2.1
330	373	0	2.1
333	304	568746	2.1
339	278	12138	2.1
339	283	12998	2.1
339	304	82995	2.1
364	364	373504	2.1
364	399	638851	2.1
369	304	18287177	2.1
369	430	4	2.1
396	396	294	2.1
396	399	7890	2.1
410	304	8683126	2.1
410	391	1123523	2.1
410	399	8121733	2.1
410	410	2852828	2.1
430	304	2593	2.1
430	369	11715	2.1
430	430	12383	2.1
442	373	735	2.1
443	304	13334	2.1
443	373	93638	2.1
14	14	0	2.1
14	159	0	2.1
24	24	929002	2.1
24	143	547492	2.1
25	28	273478	2.1
25	48	273222	2.1
25	88	728355	2.1
25	143	1837840	2.1
25	166	273449	2.1
25	173	477	2.1
35	143	15609863	2.1
65	65	0	2.1
116	116	28542	2.1
131	131	801	2.1
141	141	0	2.1
148	143	254935	2.1
148	148	618436	2.1
149	143	468244	2.1
149	149	1837	2.1
150	25	1555	2.1
150	28	275034	2.1
150	48	274778	2.1
150	88	733022	2.1
150	143	1847292	2.1
150	166	275005	2.1
150	173	121	2.1
178	25	15427	2.1
178	28	288906	2.1
178	48	288650	2.1
178	88	774638	2.1
178	143	1944396	2.1
178	150	13871	2.1
178	166	288877	2.1
178	173	11166	2.1
181	132	60633	2.1
181	141	124241	2.1
181	143	926884	2.1
181	181	2430880	2.1
185	25	30413	2.1
185	28	303891	2.1
185	48	303635	2.1
185	88	819596	2.1
185	143	2049297	2.1
185	150	28857	2.1
185	166	303862	2.1
185	173	14630	2.1
185	178	14985	2.1
185	185	0	2.1
240	116	48058	2.1
241	35	332747	2.1
241	143	1012734	2.1
248	25	3891	2.1
248	150	2335	2.1
266	173	786	2.1
282	457	102521	2.1
287	458	74973	2.1
288	143	0	2.1
302	463	58470	2.1
302	143	34288	2.1
304	19	518645	2.2
304	23	54199	2.2
304	34	3192806	2.2
304	40	8865529	2.2
304	43	3070001	2.2
304	61	692158	2.2
304	94	6630	2.2
304	97	19724	2.2
304	98	1096636	2.2
304	102	927616	2.2
304	114	72172	2.2
304	130	133259	2.2
304	164	6039731	2.2
304	175	892804	2.2
304	182	21177	2.2
316	143	1912108	2.1
333	457	3804	2.1
352	10	517	2.1
352	68	153	2.1
352	143	14029	2.1
373	114	58141	2.2
373	170	9551	2.2
384	143	0	2.1
443	451	73354	2.1
458	116	283964	2.1
24	304	120425	2.1
24	373	1239	2.1
24	399	16884	2.1
25	217	518671	2.1
25	220	60680	2.1
25	248	62937	2.1
25	304	1390879	2.1
25	309	716961	2.1
25	319	205827	2.1
25	361	133934	2.1
25	399	60689	2.1
65	391	0	2.1
116	240	28802	2.1
116	304	847	2.1
116	369	4818	2.1
131	304	481	2.1
131	391	245	2.1
141	304	0	2.1
148	304	361157	2.1
150	217	521781	2.1
150	220	62236	2.1
150	248	70715	2.1
150	304	1407940	2.1
150	309	718516	2.1
150	319	227200	2.1
150	361	135489	2.1
150	399	62245	2.1
178	217	549525	2.1
178	220	76108	2.1
178	248	151611	2.1
178	304	1560532	2.1
178	309	732388	2.1
178	319	454927	2.1
178	361	149361	2.1
178	399	76117	2.1
181	304	3414566	2.1
185	217	579497	2.1
185	220	91093	2.1
185	248	241523	2.1
185	304	1740003	2.1
185	309	747374	2.1
185	319	709683	2.1
185	361	164347	2.1
185	399	91102	2.1
219	219	36773	2.1
219	304	640	2.1
240	240	21462	2.1
240	304	8386	2.1
241	241	884014	2.1
241	304	509932	2.1
241	373	69381	2.1
248	248	317603	2.1
266	266	31660	2.1
266	304	30678	2.1
266	319	62222	2.1
266	399	49325	2.1
288	288	0	2.1
288	367	0	2.1
295	373	180	2.1
304	187	55324	2.2
304	202	525	2.2
304	233	258	2.2
304	235	1336953	2.2
304	238	130443	2.2
304	244	3070329	2.2
304	245	42483	2.2
304	287	3702079	2.2
304	328	110	2.2
304	331	6169446	2.2
304	369	4949027	2.2
304	389	1265789	2.2
316	220	2094265	2.1
316	304	158341	2.1
316	316	976	2.1
316	399	388	2.1
352	276	429	2.1
352	304	266294	2.1
352	373	527027	2.1
373	238	29508	2.2
384	384	0	2.1
433	399	0	2.1
458	240	372201	2.1
458	304	258172	2.1
458	369	90846	2.1
