"","node","betweenness"
"723",9292,0
"724",9308,5562
"725",9310,5726
"726",9355,6918
"727",9357,350
"728",9363,8121
"729",9374,11876
"730",9399,12340
"731",9473,12985
"732",9478,1280
"733",9495,8061
"734",9525,1526
"735",9546,2297
"736",9574,9166
"737",9576,0
"738",9595,13065
"739",9598,2034
"740",9602,2173
"741",9605,1212
"742",9638,8153
"743",9664,1149
"744",9670,1150
"745",9688,4626
"746",9726,1745
"747",9734,5740
"748",9752,1149
"749",9757,14889
"750",9762,1279
"751",9766,2298
"752",9784,1671
"753",9800,9167
"754",9801,6640
"755",9833,15316
"756",9859,2355
"757",9861,4591
"758",9867,1150
"759",9878,0
"760",9961,986
"761",9964,7706
"762",9974,4820
"763",9975,5660
"764",9996,2298
"765",10037,2299
"766",10047,0
"767",10056,10442
"768",10073,1598
"769",10078,3444
"770",10082,5293
"771",10108,4918
"772",10116,1556
"773",10127,3445
"774",10191,11827
"775",10225,38267
"776",10259,8802
"777",10282,5294
"778",10291,13523
"779",10303,4612
"780",10328,32649
"781",10342,414
"782",10343,6786
"783",10344,6406
"784",10380,5139
"785",10381,0
"786",10386,2298
"787",10406,54579
"788",10455,5471
"789",10475,0
"790",10511,0
"791",10535,744
"792",10553,1149
"793",10556,1149
"794",10560,1150
"795",10585,1501
"796",10589,2194
"797",10606,2295
"798",10642,1150
"799",10666,5725
"800",10678,18492
"801",10695,2737
"802",10735,1149
"803",10738,1152
"804",10739,4623
"805",10752,2297
"806",10762,10885
"807",10786,33768
"808",10789,16894
"809",10799,4521
"810",10824,3782
"811",10835,1150
"812",10839,15752
"813",10846,649
"814",10861,3581
"815",10867,4593
"816",10905,2589
"817",10906,12487
"818",10917,6535
"819",10923,22700
"820",10930,4454
"821",10931,5291
"822",10943,5767
"823",10947,2981
"824",10982,2297
"825",11013,14
"826",11019,4546
"827",11020,2299
"828",11060,8017
"829",11100,0
"830",11117,2298
"831",11126,9704
"832",11145,0
"833",11151,8029
"834",11163,1149
"835",11176,5737
"836",11197,5376
"837",11202,5740
"838",11234,8676
"839",11244,0
"840",11278,2464
"841",11286,3446
"842",11298,0
"843",11307,0
"844",11325,8116
"845",11330,5363
"846",11383,4621
"847",11426,7391
"848",11439,2303
"849",11447,3439
"850",11460,1151
"851",11470,14913
"852",11488,2283
"853",11545,1150
"854",11551,3445
"855",11554,5025
"856",11571,16097
"857",11578,8026
"858",11596,0
"859",11598,7550
"860",11604,3444
"861",11614,0
"862",11646,0
"863",11654,6711
"864",11770,1253
"865",11776,10009
"866",11783,2297
"867",11813,9169
"868",11845,6835
"869",11846,3438
"870",11857,2299
"871",11915,1150
"872",11929,1893
"873",11941,3439
"874",11947,14725
"875",11976,3100
"876",11993,2299
"877",12011,1150
"878",12016,7987
"879",12054,2300
"880",12055,3444
"881",12069,4590
"882",12082,0
"883",12086,1154
"884",12090,1149
"885",12094,4280
"886",12134,5770
"887",12156,8741
"888",12172,375
"889",12173,11353
"890",12197,1243
"891",12227,3776
"892",12342,6211
"893",12363,4591
"894",12385,4916
"895",12393,4188
"896",12395,2299
"897",12399,1150
"898",12427,7824
"899",12459,1958
"900",12534,0
"901",12540,2395
"902",12548,51682
"903",12581,24632
"904",12587,3807
"905",12600,4427
"906",12603,0
"907",12611,2310
"908",12612,1149
"909",12614,4994
"910",12638,5735
"911",12645,3238
"912",12646,2313
"913",12649,1149
"914",12660,3593
"915",12662,2237
"916",12684,9191
"917",12800,1133
"918",12803,3447
"919",12807,1149
"920",12833,1149
"921",12846,1154
"922",12859,8020
"923",12863,0
"924",12898,2297
"925",12921,6838
"926",12926,0
"927",12950,2301
"928",12957,447
"929",12983,1150
"930",12994,30964
"931",13031,1150
"932",13059,22340
"933",13090,78
"934",13101,2298
"935",13111,1149
"936",13120,0
"937",13130,1150
"938",13136,1150
"939",13144,4444
"940",13167,8022
"941",13217,6482
"942",13224,5738
"943",13273,2298
"944",13292,2297
"945",13366,16427
"946",13367,4231
"947",13373,2304
"948",13405,0
"949",13452,2907
"950",13484,6275
"951",13555,28455
"952",13562,1150
"953",13568,2527
"954",13582,0
"955",13607,1694
"956",13661,3781
"957",13663,2310
"958",13671,4745
"959",13684,2306
"960",13700,1150
"961",13713,3374
"962",13727,3592
"963",13729,3447
"964",13737,8633
"965",13745,2298
"966",13755,10445
"967",13758,0
"968",13766,3808
"969",13767,5770
"970",13783,5292
"971",13791,12
"972",13798,6887
"973",13810,1149
"974",13826,0
"975",13833,2310
"976",13853,10008
"977",13855,6950
"978",13860,2298
"979",13919,8024
"980",13922,5771
"981",13930,6463
"982",13950,2299
"983",13965,3447
"984",13968,9176
"985",13974,4738
"986",13979,1563
"987",13984,6912
"988",13999,3809
"989",14017,3447
"990",14040,5212
"991",14045,26126
"992",14057,1789
"993",14133,361
"994",14150,1149
"995",14203,15997
"996",14205,0
"997",14209,2276
"998",14213,2298
"999",14220,9661
"1000",14221,9168
"1001",14225,8021
"1002",14246,2525
"1003",14253,12396
"1004",14266,2526
"1005",14294,6639
"1006",14324,4604
"1007",14334,2299
"1008",14335,16925
"1009",14341,3783
"1010",14396,1151
"1011",14407,5639
"1012",14410,3447
"1013",14451,3444
"1014",14469,0
"1015",14604,7106
"1016",14613,2297
"1017",14623,13694
"1018",14627,6859
"1019",14650,19152
"1020",14693,4594
"1021",14726,9034
"1022",14763,0
"1023",14765,9164
"1024",14772,10198
"1025",14781,2297
"1026",14787,5525
"1027",14878,1213
"1028",14881,0
"1029",14904,0
"1030",14990,7438
"1031",15040,2304
"1032",15112,1150
"1033",15157,2297
"1034",15164,0
"1035",15167,2854
"1036",15168,15935
"1037",15194,550
"1038",15196,3446
"1039",15258,2607
"1040",15279,11355
"1041",15314,2906
"1042",15325,8025
"1043",15341,0
"1044",15357,9171
"1045",15370,3447
"1046",15424,5158
"1047",15453,5658
"1048",15465,1150
"1049",15477,6942
"1050",15499,6899
"1051",15500,10978
"1052",15579,1149
"1053",15580,9629
"1054",15634,3781
"1055",15653,8
"1056",15689,3446
