"","node","betweenness"
"864",11802,1129
"865",11816,16
"866",11858,4834
"867",11860,2542
"868",11862,3573
"869",11871,7945
"870",11877,2280
"871",11888,0
"872",11900,3411
"873",11918,2244
"874",11935,7918
"875",11955,2262
"876",11982,3667
"877",11997,3393
"878",12002,14313
"879",12010,1264
"880",12014,1278
"881",12042,695
"882",12043,2785
"883",12046,624
"884",12048,0
"885",12056,17237
"886",12108,5662
"887",12124,20001
"888",12130,4816
"889",12132,15133
"890",12153,2541
"891",12157,16889
"892",12164,2367
"893",12212,2287
"894",12228,1125
"895",12321,4519
"896",12325,3384
"897",12349,11278
"898",12358,5833
"899",12382,15580
"900",12386,7912
"901",12387,1129
"902",12404,10995
"903",12405,6759
"904",12412,3417
"905",12424,5635
"906",12439,4595
"907",12440,1493
"908",12452,6759
"909",12460,6759
"910",12476,3411
"911",12477,1138
"912",12488,4528
"913",12517,2266
"914",12527,43473
"915",12541,2275
"916",12547,10317
"917",12570,1129
"918",12608,3501
"919",12630,20809
"920",12651,7918
"921",12658,5644
"922",12666,2257
"923",12693,3663
"924",12740,7858
"925",12746,7347
"926",12750,6770
"927",12760,3399
"928",12788,15696
"929",12801,20800
"930",12823,15115
"931",12846,1132
"932",12848,17458
"933",12886,4546
"934",12889,0
"935",12899,2761
"936",12914,6287
"937",12934,9098
"938",12936,4528
"939",12941,4577
"940",12960,6795
"941",12968,2257
"942",12975,3316
"943",12998,11004
"944",13001,14708
"945",13004,0
"946",13013,3457
"947",13018,2257
"948",13050,14067
"949",13055,4546
"950",13073,10168
"951",13080,5680
"952",13081,1842
"953",13094,2272
"954",13117,5842
"955",13122,6786
"956",13142,7891
"957",13154,0
"958",13176,4546
"959",13250,4510
"960",13285,2905
"961",13288,2054
"962",13309,9004
"963",13343,3918
"964",13344,1941
"965",13374,2257
"966",13380,8354
"967",13402,14753
"968",13410,16616
"969",13424,19532
"970",13429,2536
"971",13432,11434
"972",13433,14682
"973",13529,6768
"974",13531,7099
"975",13536,1138
"976",13539,4546
"977",13563,5798
"978",13634,1129
"979",13638,2527
"980",13681,1138
"981",13728,6813
"982",13736,1142
"983",13750,0
"984",13777,1129
"985",13797,10986
"986",13800,3396
"987",13813,9040
"988",13820,10522
"989",13839,20974
"990",13844,12410
"991",13845,0
"992",13857,33605
"993",13872,6777
"994",13890,0
"995",13894,14771
"996",13899,4825
"997",13901,1269
"998",13959,1129
"999",13962,8403
"1000",13985,1138
"1001",14011,36465
"1002",14013,19171
"1003",14014,6779
"1004",14021,2283
"1005",14026,580
"1006",14030,1131
"1007",14093,0
"1008",14129,4157
"1009",14146,4568
"1010",14223,6761
"1011",14236,3799
"1012",14251,6813
"1013",14273,1856
"1014",14284,11965
"1015",14291,4537
"1016",14292,0
"1017",14299,17035
"1018",14316,12
"1019",14322,7885
"1020",14325,2589
"1021",14327,6240
"1022",14370,9062
"1023",14371,2358
"1024",14389,2580
"1025",14392,2262
"1026",14400,1484
"1027",14411,0
"1028",14414,5644
"1029",14421,4537
"1030",14470,1242
"1031",14553,4537
"1032",14607,2257
"1033",14630,1138
"1034",14657,7900
"1035",14675,202
"1036",14709,4537
"1037",14744,3020
"1038",14768,7936
"1039",14791,14762
"1040",14859,0
"1041",14860,15723
"1042",14884,0
"1043",14909,4528
"1044",14918,5662
"1045",14946,13878
"1046",14966,2257
"1047",14972,105
"1048",15025,3029
"1049",15026,1905
"1050",15028,1976
"1051",15108,1138
"1052",15123,3484
"1053",15141,7104
"1054",15187,11147
"1055",15257,9066
"1056",15283,1841
"1057",15311,2266
"1058",15439,1850
"1059",15456,0
"1060",15458,9022
"1061",15472,6777
"1062",15511,9057
"1063",15552,5220
"1064",15567,0
"1065",15569,0
"1066",15594,11021
